session_old_id,target_type,shot_number,value
6,red,1,10
6,red,2,0
6,red,3,0
6,red,4,0
6,red,5,0
6,green,1,5
6,green,2,6
6,green,3,6
6,green,4,6
6,green,5,7
6,green,6,7
6,green,7,8
6,green,8,8
6,green,9,8
6,green,10,8
6,green,11,8
6,green,12,9
6,green,13,9
6,green,14,9
6,green,15,9
6,black,1,5
6,black,2,6
6,black,3,7
6,black,4,7
6,black,5,8
6,black,6,8
6,black,7,9
6,black,8,9
6,black,9,10
6,black,10,10
7,red,1,0
7,red,2,0
7,red,3,0
7,red,4,0
7,red,5,0
7,green,1,3
7,green,2,5
7,green,3,7
7,green,4,7
7,green,5,8
7,green,6,8
7,green,7,8
7,green,8,8
7,green,9,8
7,green,10,9
7,green,11,9
7,green,12,9
7,green,13,10
7,green,14,10
7,green,15,10
7,black,1,5
7,black,2,6
7,black,3,6
7,black,4,7
7,black,5,7
7,black,6,7
7,black,7,8
7,black,8,8
7,black,9,9
7,black,10,10
8,red,1,0
8,red,2,0
8,red,3,0
8,red,4,0
8,red,5,0
8,green,1,4
8,green,2,6
8,green,3,6
8,green,4,7
8,green,5,7
8,green,6,7
8,green,7,8
8,green,8,8
8,green,9,8
8,green,10,9
8,green,11,9
8,green,12,9
8,green,13,9
8,green,14,9
8,green,15,10
8,black,1,6
8,black,2,6
8,black,3,6
8,black,4,7
8,black,5,7
8,black,6,8
8,black,7,8
8,black,8,9
8,black,9,9
8,black,10,10
30,red,1,10
30,red,2,0
30,red,3,0
30,red,4,0
30,red,5,0
30,green,1,5
30,green,2,5
30,green,3,6
30,green,4,6
30,green,5,7
30,green,6,7
30,green,7,8
30,green,8,8
30,green,9,8
30,green,10,8
30,green,11,8
30,green,12,9
30,green,13,9
30,green,14,10
30,green,15,10
30,black,1,5
30,black,2,5
30,black,3,5
30,black,4,5
30,black,5,6
30,black,6,8
30,black,7,8
30,black,8,9
30,black,9,10
30,black,10,10
9,red,1,0
9,red,2,0
9,red,3,0
9,red,4,0
9,green,1,3
9,green,2,4
9,green,3,5
9,green,4,5
9,green,5,6
9,green,6,7
9,green,7,7
9,green,8,7
9,green,9,8
9,green,10,8
9,green,11,8
9,green,12,9
9,green,13,10
9,green,14,10
9,green,15,10
9,black,1,6
9,black,2,7
9,black,3,7
9,black,4,7
9,black,5,8
9,black,6,8
9,black,7,9
9,black,8,9
9,black,9,9
9,black,10,10
10,red,1,0
10,red,2,0
10,red,3,0
10,red,4,0
10,red,5,0
10,green,1,2
10,green,2,3
10,green,3,4
10,green,4,5
10,green,5,6
10,green,6,6
10,green,7,8
10,green,8,7
10,green,9,7
10,green,10,7
10,green,11,7
10,green,12,7
10,green,13,8
10,green,14,9
10,green,15,9
10,black,1,7
10,black,2,7
10,black,3,7
10,black,4,8
10,black,5,8
10,black,6,8
10,black,7,9
10,black,8,9
10,black,9,9
10,black,10,9
11,red,1,0
11,red,2,0
11,red,3,0
11,red,4,0
11,red,5,0
11,green,1,4
11,green,2,6
11,green,3,6
11,green,4,7
11,green,5,7
11,green,6,7
11,green,7,8
11,green,8,8
11,green,9,8
11,green,10,8
11,green,11,8
11,green,12,8
11,green,13,9
11,green,14,9
11,green,15,9
11,black,1,6
11,black,2,6
11,black,3,7
11,black,4,7
11,black,5,8
11,black,6,8
11,black,7,8
11,black,8,8
11,black,9,9
11,black,10,9
12,red,1,0
12,red,2,0
12,red,3,0
12,red,4,0
12,red,5,0
12,green,1,8
12,green,2,8
12,green,3,8
12,green,4,8
12,green,5,8
12,green,6,8
12,green,7,8
12,green,8,9
12,green,9,9
12,green,10,9
12,green,11,9
12,green,12,9
12,green,13,9
12,green,14,9
12,green,15,10
12,black,1,5
12,black,2,6
12,black,3,6
12,black,4,7
12,black,5,8
12,black,6,8
12,black,7,8
12,black,8,9
12,black,9,10
